1,TiempoAuntenticacion,4728
2,TiempoAuntenticacion,4472
3,TiempoAuntenticacion,4655
4,TiempoAuntenticacion,4586
5,TiempoAuntenticacion,3846
6,TiempoAuntenticacion,4209
7,TiempoAuntenticacion,4821
8,TiempoAuntenticacion,4822
9,TiempoAuntenticacion,4831
10,TiempoAuntenticacion,4037
11,TiempoAuntenticacion,4143
12,TiempoAuntenticacion,4818
13,TiempoAuntenticacion,4844
14,TiempoAuntenticacion,4381
15,TiempoAuntenticacion,4878
16,TiempoAuntenticacion,4527
17,TiempoAuntenticacion,4686
18,TiempoAuntenticacion,4562
19,TiempoAuntenticacion,4669
20,TiempoAuntenticacion,4790
